date,place,time,aspect_ratio,image_path,species_name,species_gender,species_scientific_name,species_wikipedia_link,species_keywords,image_description,image_alt_text,image_caption,species_fact,closest_species,reasoning,new_file_name
Unknown,Latpanchar,Unknown,1.5,/Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_5946-Enhanced-NR.png,Rufous-necked Hornbill,N.A,Aceros nipalensis,https://en.wikipedia.org/wiki/Rufous-necked_hornbill,"['Rufous-necked Hornbill', 'Near Threatened', 'red', 'orange', 'black', 'large bill']","Two Rufous-necked Hornbills are seen perched among dense foliage. Their vibrant plumage and large, curved bills are prominent. The forest setting suggests a natural habitat.",Two Rufous-necked Hornbills perched in a tree with dense leaves.,Rufous-necked Hornbills spotted in Latpanchar.,"fascinating_fact='The Rufous-necked Hornbill is known for its distinctive calls that can be heard over long distances in the forest.' citation=HttpUrl('https://birdfact.com/birds/rufous-necked-hornbill') extract='These calls resonate through the forest, allowing the hornbills to communicate effectively even when far apart.'",name='Great Hornbill' difference='The Great Hornbill is larger with a more prominent casque and more distinct black and white coloration.' citation=HttpUrl('https://en.wikipedia.org/wiki/Great_hornbill') extract='The Great Hornbill is notably larger and has a strikingly different casque compared to other hornbills.',"The Rufous-necked Hornbill is identified by its rufous neck, large size, and distinct bill shape which are visible in the image.",Rufous-necked Hornbill_Latpanchar_Unknown_Unknown.png
21 March 2025,Latpanchar,07:34:41 hours,1.5,/Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6087-Enhanced-NR.jpg,Rufous-necked Hornbill,N.A,Aceros nipalensis,https://en.wikipedia.org/wiki/Rufous-necked_hornbill,"['Rufous-necked Hornbill', 'Vulnerable', 'red', 'black', 'blue', 'orange']","The Rufous-necked Hornbill is perched on a branch amidst green leaves, with its striking orange, black, and blue plumage fully visible. Captured on 21 March 2025 at 07:34:41 hours, the bird appears calm and observant.",Rufous-necked Hornbill sitting on a branch with vivid orange and black plumage among green leaves.,Rufous-necked Hornbill in Latpanchar.,"fascinating_fact='The Rufous-necked Hornbill is known for its striking coloration and large casque on the beak, making it a prominent resident of the Eastern Himalayas.' citation=HttpUrl('https://www.birdlife.org/bird_species/6225') extract='The Rufous-necked Hornbill is found in the Eastern Himalayas, known for its distinctive large casque and vibrant coloration.'","name='Great Hornbill' difference='The Great Hornbill is larger with mostly black and white plumage and a large, helmet-like casque.' citation=HttpUrl('https://www.birdlife.org/bird_species/6220') extract='The Great Hornbill is distinctively larger and primarily black and white, differing significantly in appearance from the Rufous-necked Hornbill.'","The bird is identifiable as a Rufous-necked Hornbill due to its rufous collar, blue skin around the eyes, and large beak with a black casque. These features are distinct to this species.",Rufous-necked Hornbill_Latpanchar_21 March 2025_07:34:41 hours.jpg
21 March 2025,Latpanchar,07:34:53 hours,1.5,/Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6090-Enhanced-NR.jpg,Rufous-necked Hornbill,N.A,Aceros nipalensis,https://en.wikipedia.org/wiki/Rufous-necked_hornbill,"['Rufous-necked Hornbill', 'IUCN Vulnerable', 'colorful', 'beak', 'blue', 'red', 'black', 'fruit', 'tropical forest']","On March 21, 2025, at 07:34:53, a Rufous-necked Hornbill is perched in a tree in Latpanchar. The bird is brightly colored, showcasing vibrant blue, red, and black on its head and beak, and is seen picking at a fruit from the lush green foliage around it.",A Rufous-necked Hornbill in a tree eating fruit with a vibrant colorful beak.,A colorful Rufous-necked Hornbill enjoys a morning meal in Latpanchar.,"fascinating_fact='Rufous-necked Hornbills are known to engage in mutualistic relationships with fruit-bearing trees by dispersing seeds over large distances.' citation=HttpUrl('https://birdsoftheworld.org/bow/species/runhor1/cur/introduction') extract='The Rufous-necked Hornbill plays a crucial role in seed dispersal, contributing to the health of tropical forests they inhabit.'","name='Great Hornbill' difference='The Great Hornbill is larger and has a more prominent casque compared to the Rufous-necked Hornbill. It also lacks the distinctive blue and red markings on its beak.' citation=HttpUrl('https://en.wikipedia.org/wiki/Great_hornbill') extract='The Great Hornbill is noted for its size and prominent casque, distinguishing it from other species like the Rufous-necked Hornbill.'","The bird's distinctive large, colorful beak, blue and red facial markings, and the dietary behavior match known characteristics of the Rufous-necked Hornbill commonly found in the Latpanchar region.",Rufous-necked Hornbill_Latpanchar_21 March 2025_07:34:53 hours.jpg
Unknown,Latpanchar,Unknown,1.5,/Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6117-Enhanced-NR-2.png,Rufous-necked Hornbill,N.A,Aceros nipalensis,https://en.wikipedia.org/wiki/Rufous-necked_hornbill,"['Rufous-necked Hornbill', 'Aceros nipalensis', 'IUCN Vulnerable', 'Colorful beak', 'Blue and rufous plumage']","A Rufous-necked Hornbill perched on a branch in Latpanchar, showcasing its vivid rufous and blue plumage. The bird is surrounded by green leaves and appears relaxed. The photograph highlights the bird's striking beak and colors.",Rufous-necked Hornbill sitting on a tree branch with colorful beak and feathers.,Rufous-necked Hornbill in its natural habitat.,"fascinating_fact=""The Rufous-necked Hornbill is considered a 'Near Threatened' species due to habitat loss and hunting, making sightings in Latpanchar special."" citation=HttpUrl('https://www.iucnredlist.org/species/22682512/92941781') extract='The Rufous-necked Hornbill is classified as Near Threatened due to a rapid decline in populations caused primarily by habitat loss and hunting.'",name='Wreathed Hornbill' difference='The Wreathed Hornbill has a more pronounced casque and lacks the rufous neck typical of the Rufous-necked Hornbill.' citation=HttpUrl('https://en.wikipedia.org/wiki/Wreathed_hornbill') extract='The Wreathed Hornbill is recognized by the lack of rufous neck coloring and a distinct casque compared to other hornbills.',"The bird is identified as a Rufous-necked Hornbill by its distinctive rufous neck and bright blue and, orange-tinted beak, along with its size and habitats typical to the Latpanchar area.",Rufous-necked Hornbill_Latpanchar_Unknown_Unknown.png
21 March 2025,Latpanchar,07:36:11 hours,1.5,/Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6129-Enhanced-NR.jpg,Rufous-necked Hornbill,N.A,Aceros nipalensis,https://en.wikipedia.org/wiki/Rufous-necked_hornbill,"['Rufous-necked Hornbill', 'Vulnerable', 'black', 'red', 'white', 'hornbill']","On 21 March 2025 at 07:36:11, a Rufous-necked Hornbill is perched on a tree in Latpanchar, surrounded by green and brown leaves. The bird is showcasing its striking black, red, and white plumage, and its distinctive casque-topped bill. The hornbill is calmly observing its surroundings.",Rufous-necked Hornbill perched on a tree branch with foliage.,Rufous-necked Hornbill in its natural habitat.,"fascinating_fact='Latpanchar is known for being a significant habitat for the Rufous-necked Hornbill, which is classified as Vulnerable due to habitat loss and hunting.' citation=HttpUrl('https://www.iucnredlist.org/species/22682517/92948719') extract='The Rufous-necked Hornbill is listed as Vulnerable under the IUCN Red List due to its rapidly decreasing population, primarily as a result of habitat degradation and hunting.'","name='Great Hornbill' difference='While both have large casques, the Great Hornbill is larger in size and predominantly black and white, with a yellow casque.' citation=HttpUrl('https://www.worldbirdnames.org/GreatHornbill') extract='The Great Hornbill is distinguishable from the Rufous-necked Hornbill by its larger size and its bright yellow casque, unlike the red and black casque of the Rufous-necked Hornbill.'","The bird's distinctive red neck, large curved bill, and the habitat suggest it is the Rufous-necked Hornbill. The likelihood score reflects its characteristic features and known presence in Latpanchar.",Rufous-necked Hornbill_Latpanchar_21 March 2025_07:36:11 hours.jpg
21 March 2025,Latpanchar,08:17:21 hours,1.5,/Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6320-Enhanced-NR.jpg,Rufous-necked hornbill,male and female,Aceros nipalensis,https://en.wikipedia.org/wiki/Rufous-necked_hornbill,"['Rufous-necked hornbill', 'Aceros nipalensis', 'hornbill', 'IUCN Vulnerable', 'red', 'black', 'blue']","Two Rufous-necked hornbills, one male and one female, are perched on a branch in Latpanchar on 21 March 2025 at 08:17:21 hours. They appear to be interacting with each other, possibly in a courtship display or strengthening their pair bond.",Two Rufous-necked hornbills perched on a branch.,A pair of Rufous-necked hornbills perched on a branch in Latpanchar.,"fascinating_fact='The Rufous-necked hornbill is one of the larger and rarest species of hornbills, which is often found in forested areas of the Eastern Himalayas, including Latpanchar.' citation=HttpUrl('https://www.conservationindia.org/articles/rufous-necked-hornbill-a-threatened-hornbill-of-the-eastern-himalayas') extract='The Rufous-necked hornbill is a rare and striking species of hornbill found in the forests of the Eastern Himalayas.'","name='Great hornbill' difference='The Great hornbill is larger and has yellow and black markings on the beak, unlike the distinctive blue and red of the Rufous-necked hornbill.' citation=HttpUrl('https://en.wikipedia.org/wiki/Great_hornbill') extract='The Great hornbill is one of the larger members of the hornbill family and is easily recognizable by the bright yellow and black casque on its beak.'","The prominent casque and distinctive blue and red coloration on the beak, along with the predominant red and black plumage, are indicative of the Rufous-necked hornbill.",Rufous-necked hornbill_Latpanchar_21 March 2025_08:17:21 hours.jpg
21 March 2025,Latpanchar,08:22:58 hours,1.32,/Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6361-Enhanced-NR.jpg,Rufous-necked Hornbill,male and female,Aceros nipalensis,https://en.wikipedia.org/wiki/Rufous-necked_hornbill,"['Rufous-necked Hornbill', 'Near Threatened', 'hornbill', 'rufous', 'black', 'white tail', 'blue face']","On 21 March 2025 at 08:22:58, a pair of Rufous-necked Hornbills is perched on a tree branch in Latpanchar, appearing to be engaged in what might be a courtship ritual or mutual preening. One displays a striking rufous neck as they sit closely together.",Pair of Rufous-necked Hornbills perched on a branch in Latpanchar.,A pair of Rufous-necked Hornbills in Latpanchar.,"fascinating_fact='Rufous-necked Hornbills are known for their distinctive courtship feeding, which helps in mate selection.' citation=HttpUrl('https://www.edgeofexistence.org/species/rufous-necked-hornbill/') extract='Rufous-necked Hornbills are noted for their unique courtship feeding where the male offers food to the female as part of their bonding ritual.'","name='Great Hornbill' difference='The Great Hornbill is larger, with a more prominent casque and lacks the distinctive rufous neck.' citation=HttpUrl('https://www.britannica.com/animal/great-hornbill') extract='The Great Hornbill is distinguishable by its massive size and casque, differing significantly from the smaller Rufous-necked Hornbill.'","The bird's distinct rufous neck, black body, white-tipped tail, and blue facial skin match the description of the Rufous-necked Hornbill.",Rufous-necked Hornbill_Latpanchar_21 March 2025_08:22:58 hours.jpg
21 March 2025,Latpanchar,08:22:58 hours,1.5,/Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6362-Enhanced-NR.jpg,Rufous-necked Hornbill,N.A,Aceros nipalensis,https://en.wikipedia.org/wiki/Rufous-necked_hornbill,"['Rufous-necked Hornbill', 'Vulnerable', 'colorful', 'large beak', 'black and rufous plumage']","The image, taken on 21 March 2025 at 08:22:58, shows two Rufous-necked Hornbills perched on a branch. One bird has predominantly rufous plumage with blue facial skin, and the other has black plumage with similar vibrant facial features. They appear to be interacting with each other.","Two Rufous-necked Hornbills perched on a tree branch, displaying vibrant rufous and black plumage.",Rufous-necked Hornbills perched on a branch.,"fascinating_fact='Rufous-necked Hornbills are known for their sizeable casque and unique nesting habits, where the female is sealed inside a tree cavity.' citation=HttpUrl('https://www.hbw.com/species/rufous-necked-hornbill-aceros-nipalensis') extract='Rufous-necked Hornbills have a large casque, which is thought to play a role in sound resonance and sexual selection. The female is sealed inside a tree cavity during breeding.'","name='Great Hornbill' difference='The Great Hornbill has a larger size and more prominent casque but lacks the rufous neck and chestnut plumage of the Rufous-necked Hornbill.' citation=HttpUrl('https://www.hbw.com/species/great-hornbill-buceros-bicornis') extract='The Great Hornbill, larger with a significant casque, is often confused with other hornbills due to its size and coloration, albeit lacking rufous markings.'","The identification is based on the striking rufous neck and distinct casque of the bird, well-matched to the features of the Rufous-necked Hornbill found in Latpanchar.",Rufous-necked Hornbill_Latpanchar_21 March 2025_08:22:58 hours.jpg
22 March 2025,Latpanchar,02:47:14 hours,1.5,/Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_6575-Enhanced-NR.jpg,Long-tailed Broadbill,N.A,Psarisomus dalhousiae,https://en.wikipedia.org/wiki/Long-tailed_broadbill,"['Long-tailed Broadbill', 'Least Concern', 'colorful', 'green', 'yellow', 'blue']","The Long-tailed Broadbill is perched on a branch, showcasing its vibrant green body, blue tail, and yellow face. The photograph, taken on 22 March 2025 at 02:47:14 hours, captures the bird calmly resting among spring foliage.","A Long-tailed Broadbill perched on a branch with a green body, yellow face, and blue tail.",A vivid Long-tailed Broadbill rests on a branch.,"fascinating_fact=""The Long-tailed Broadbill is known for its social behavior and often forms flocks. This colorful bird's presence is a common delight in Latpanchar during spring."" citation=HttpUrl('https://en.wikipedia.org/wiki/Long-tailed_broadbill') extract='The Long-tailed Broadbill is a species of broadbill that can be seen in group activities, often flocking together.'","name='Silver-breasted Broadbill' difference=""The Silver-breasted Broadbill displays a distinct silver breast compared to the Long-tailed Broadbill's vibrant green and yellow plumage."" citation=HttpUrl('https://en.wikipedia.org/wiki/Silver-breasted_broadbill') extract='Silver-breasted Broadbills are noted for their silver-gray chest, contrasting with the colorful Long-tailed Broadbill.'","The vivid green, yellow, and blue colors, along with the long tail, are distinctive features of the Long-tailed Broadbill. Its presence in Latpanchar aligns with known habitats.",Long-tailed Broadbill_Latpanchar_22 March 2025_02:47:14 hours.jpg
22 March 2025,Latpanchar,04:46:09 hours,1.5,/Users/anirbansaha/Dropbox/copy_Latpanchar 2025 - experiment/DSC_7058-Enhanced-NR.jpg,Chestnut-bellied Starling,N.A,Sturnia malabarica,https://en.wikipedia.org/wiki/Chestnut-tailed_starling,"['Chestnut-bellied Starling', 'Least Concern', 'brown', 'chestnut', 'Latpanchar']","The image, taken on 22 March 2025 at 04:46:09, shows a Chestnut-bellied Starling perched on a branch, closely inspecting a vibrant red flower. The background consists of bare branches, indicating a natural setting.",Chestnut-bellied Starling on a branch near a red flower against a backdrop of bare tree branches.,Chestnut-bellied Starling perched near a vibrant red flower.,"fascinating_fact='Chestnut-bellied Starlings are known for their melodious songs which are often heard during the dawn and dusk.' citation=HttpUrl('https://www.birdlife.org/news/2022/12/why-we-should-listen-to-the-starlings-song') extract='The Chestnut-bellied Starling is not just a visual treat but also an acoustic delight. Their songs, especially during the morning and evening, add a symphony to the environment.'","name='Asian Pied Starling' difference='Compared to the Chestnut-bellied Starling, the Asian Pied Starling is black and white and lacks the chestnut underparts.' citation=HttpUrl('https://en.wikipedia.org/wiki/Asian_pied_starling') extract='The Asian Pied Starling (Gracupica contra) is distinguished by its black and white plumage and is commonly found in open habitats.'","The bird has distinct chestnut underparts and a pale head, typical of the Chestnut-bellied Starling. These features, along with its sightings in Latpanchar, support the identification.",Chestnut-bellied Starling_Latpanchar_22 March 2025_04:46:09 hours.jpg
